label,name,uni
0,Infant bed,283
1,Rose,456
2,Flag,212
3,Flashlight,213
4,Sea turtle,477
5,Camera,88
6,Animal,641
7,Glove,237
8,Crocodile,145
9,Cattle,103
10,House,278
11,Guacamole,251
12,Penguin,390
13,Vehicle registration plate,312
14,Training bench,596
15,Ladybug,301
16,Human nose,361
17,Watermelon,621
18,Flute,217
19,Butterfly,81
20,Washing machine,618
21,Raccoon,436
22,Segway,481
23,Taco,557
24,Jellyfish,287
25,Cake,84
26,Pen,388
27,Cannon,92
28,Bread,70
29,Tree,652
30,Shellfish,671
31,Bed,37
32,Hamster,257
33,Hat,266
34,Toaster,578
35,Sombrero,515
36,Tiara,571
37,Bowl,65
38,Dragonfly,176
39,Moths and butterflies,654
40,Antelope,9
41,Vegetable,612
42,Torch,584
43,Building,664
44,Power plugs and sockets,427
45,Blender,55
46,Billiard table,52
47,Cutting board,156
48,Bronze sculpture,73
49,Turtle,666
50,Broccoli,72
51,Tiger,574
52,Mirror,341
53,Bear,35
54,Zucchini,639
55,Dress,178
56,Volleyball,615
57,Guitar,252
58,Reptile,650
59,Golf cart,242
60,Tart,561
61,Fedora,203
62,Carnivore,663
63,Car,95
64,Lighthouse,317
65,Coffeemaker,124
66,Food processor,219
67,Truck,602
68,Bookcase,60
69,Surfboard,544
70,Footwear,674
71,Bench,43
72,Necklace,358
73,Flower,215
74,Radish,439
75,Marine mammal,656
76,Frying pan,229
77,Tap,559
78,Peach,386
79,Knife,299
80,Handbag,259
81,Laptop,305
82,Tent,570
83,Ambulance,6
84,Christmas tree,115
85,Eagle,185
86,Limousine,319
87,Kitchen & dining room table,295
88,Polar bear,414
89,Tower,587
90,Football,7
91,Willow,626
92,Human head,267
93,Stop sign,531
94,Banana,19
95,Mixer,343
96,Binoculars,53
97,Dessert,162
98,Bee,38
99,Chair,108
100,Wood-burning stove,634
101,Flowerpot,216
102,Beaker,34
103,Oyster,373
104,Woodpecker,635
105,Harp,264
106,Bathtub,33
107,Wall clock,617
108,Sports uniform,522
109,Rhinoceros,445
110,Beehive,39
111,Cupboard,153
112,Chicken,113
113,Man,328
114,Blue jay,56
115,Cucumber,150
116,Balloon,18
117,Kite,297
118,Fireplace,209
119,Lantern,304
120,Missile,342
121,Book,59
122,Spoon,520
123,Grapefruit,247
124,Squirrel,524
125,Orange,367
126,Coat,118
127,Punching bag,433
128,Zebra,638
129,Billboard,50
130,Bicycle,44
131,Door handle,175
132,Mechanical fan,192
133,Ring binder,452
134,Table,655
135,Parrot,383
136,Sock,513
137,Vase,611
138,Weapon,672
139,Shotgun,491
140,Glasses,199
141,Seahorse,478
142,Belt,42
143,Watercraft,659
144,Window,627
145,Giraffe,234
146,Lion,320
147,Tire,576
148,Vehicle,644
149,Canoe,93
150,Tie,573
151,Shelf,486
152,Picture frame,399
153,Printer,430
154,Human leg,308
155,Boat,58
156,Slow cooker,504
157,Croissant,146
158,Candle,90
159,Pancake,377
160,Pillow,403
161,Coin,125
162,Stretcher,534
163,Sandal,464
164,Woman,633
165,Stairs,525
166,Harpsichord,265
167,Stool,530
168,Bus,79
169,Suitcase,540
170,Human mouth,350
171,Juice,290
172,Skull,500
173,Door,174
174,Violin,614
175,Chopsticks,114
176,Digital clock,164
177,Sunflower,542
178,Leopard,310
179,Bell pepper,41
180,Harbor seal,263
181,Snake,506
182,Sewing machine,483
183,Goose,245
184,Helicopter,269
185,Seat belt,480
186,Coffee cup,122
187,Microwave oven,339
188,Hot dog,277
189,Countertop,139
190,Serving tray,482
191,Dog bed,169
192,Beer,40
193,Sunglasses,543
194,Golf ball,241
195,Waffle,616
196,Palm tree,376
197,Trumpet,604
198,Ruler,460
199,Helmet,270
200,Ladder,300
201,Office building,364
202,Tablet computer,556
203,Toilet paper,580
204,Pomegranate,416
205,Skirt,651
206,Gas stove,233
207,Cookie,133
208,Cart,98
209,Raven,440
210,Egg,189
211,Burrito,78
212,Goat,238
213,Kitchen knife,296
214,Skateboard,497
215,Salt and pepper shakers,463
216,Lynx,326
217,Boot,61
218,Platter,410
219,Ski,498
220,Swimwear,551
221,Swimming pool,550
222,Drinking straw,179
223,Wrench,636
224,Drum,180
225,Ant,8
226,Human ear,186
227,Headphones,268
228,Fountain,223
229,Bird,54
230,Jeans,286
231,Television,567
232,Crab,142
233,Microphone,338
234,Home appliance,647
235,Snowplow,511
236,Beetle,646
237,Artichoke,12
238,Jet ski,288
239,Stationary bicycle,528
240,Human hair,253
241,Brown bear,75
242,Starfish,527
243,Fork,222
244,Lobster,323
245,Corded phone,134
246,Drink,648
247,Saucer,466
248,Carrot,97
249,Insect,665
250,Clock,117
251,Castle,99
252,Tennis racket,569
253,Ceiling fan,104
254,Asparagus,231
255,Jaguar,285
256,Musical instrument,670
257,Train,595
258,Cat,100
259,Rifle,450
260,Dumbbell,182
261,Mobile phone,344
262,Taxi,562
263,Shower,493
264,Pitcher,405
265,Lemon,309
266,Invertebrate,640
267,Turkey,606
268,High heels,271
269,Bust,80
270,Elephant,193
271,Scarf,471
272,Barrel,25
273,Trombone,600
274,Pumpkin,432
275,Box,66
276,Tomato,581
277,Frog,228
278,Bidet,48
279,Human face,201
280,Houseplant,424
281,Van,610
282,Shark,484
283,Ice cream,281
284,Swim cap,549
285,Falcon,202
286,Ostrich,369
287,Handgun,261
288,Whiteboard,625
289,Lizard,322
290,Pasta,385
291,Snowmobile,510
292,Light bulb,314
293,Window blind,628
294,Muffin,351
295,Pretzel,429
296,Computer monitor,129
297,Horn,226
298,Furniture,660
